[int]         typeof(int) 
[int[]]       typeof(int[]) 
[long]        typeof(long) 
[long[]]      typeof(long[]) 
[string]      typeof(string) 
[string[]]    typeof(string[]) 
[char]        typeof(char) 
[char[]]      typeof(char[]) 
[bool]        typeof(bool) 
[bool[]]      typeof(bool[]) 
[byte]        typeof(byte) 
[double]      typeof(double) 
[decimal]     typeof(decimal) 
[float]       typeof(float)
[single]      typeof(float)

[array]       typeof(System.Array)
[hashtable]   typeof(System.Collections.Hashtable)
[psobject]    typeof(System.Management.Automation.PSObject)
[ref]         typeof(System.Management.Automation.PSReference)
[regex]       typeof(System.Text.RegularExpressions.Regex)
[scriptblock] typeof(System.Management.Automation.ScriptBlock)
[switch]      typeof(System.Management.Automation.SwitchParameter)
[type]        typeof(System.Type)
[wmi]         typeof(System.Management.ManagementObject)
[wmisearcher] typeof(System.Management.ManagementObjectSearcher)
[wmiclass]    typeof(System.Management.ManagementClass)
[xml]         typeof(System.Xml.XmlDocument)

 
